02:51:20:931 [ALWAYS]	GUDE Logging Started
02:51:20:931 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
02:51:20:932 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
02:51:20:932 [ERROR]	Initialize resume cache pointer failure
02:51:20:932 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
02:51:20:932 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
02:51:29:487 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
02:51:29:487 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
02:51:29:487 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
02:51:29:487 [ERROR]	Initialize resume cache pointer failure
02:51:29:487 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
02:51:29:487 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
